CallerService,CallerMethod,CalledService,CalledMethod,LegacyCallLine,CallerSaveChangesLines,CalleeSaveChangesLinesIncludingHelpers,SameUowContext,ExternalEffects,Classification,Recommendation
MatrixTemplateExcelExportService,GenerateExcelAsync,ProjectFlatReportService,GetFlatReportAsync,170,—,—,Lectura; sin commit del callee,No,SAFE,Conservar reglas/transformación de lectura. CurrentUser solo lee claims; no requiere repository.
MatrixTemplateExcelExportService,GenerateExcelAsync,ResearchCategoryService,GetTreeAsync,193,—,—,Lectura; sin commit del callee,No,SAFE,Conservar reglas/transformación de lectura. CurrentUser solo lee claims; no requiere repository.
ProductTypeDesignService,UpsertAttributeAsync,ProductAttributeService,CreateAsync,273,"163,209,248",85,"Sí, si Scoped; mismo dominio",No,ATOMICITY_RISK,Separar preparación de cambios y commit del orquestador; no llamar CRUD con save desde una operación compuesta.
ProductTypeDesignService,UpsertAttributeAsync,ProductAttributeService,UpdateAsync,291,"163,209,248",121,"Sí, si Scoped; mismo dominio",No,ATOMICITY_RISK,Separar preparación de cambios y commit del orquestador; no llamar CRUD con save desde una operación compuesta.
ProjectFlatReportService,LoadExternalFacultiesAsync,ExternalAcademicsService,GetFacultiesAsync,432,—,—,N/A: remoto,HTTP (lectura; efecto remoto mutante no demostrado),EXTERNAL_SIDE_EFFECT,Lectura HTTP: definir consistencia/retry idempotente; no hay transacción distribuida.
ProjectFlatReportService,LoadExternalProfilesAsync,ExternalDirectoryClient,GetAllAsync,464,—,—,N/A: remoto,HTTP (lectura; efecto remoto mutante no demostrado),EXTERNAL_SIDE_EFFECT,Lectura HTTP: definir consistencia/retry idempotente; no hay transacción distribuida.
ProjectMatrixService,UploadAsync,ProjectService,ImportFromMatrixAsync,274,—,1738,Caller sin UoW propio; callee usa UoW legacy y llama provisión Identity,No,NEEDS_REVIEW,El import llama Identity con commits por usuario; mantener TODO Unified.
ProjectService,CreateFullAsync,ExternalDirectoryClient,GetByEmailsAsync,456,877,—,N/A: remoto,HTTP (lectura; efecto remoto mutante no demostrado),EXTERNAL_SIDE_EFFECT,Lectura HTTP: definir consistencia/retry idempotente; no hay transacción distribuida.
ProjectService,CreateFullAsync,ExternalPeriodsClient,GetAllAsync,469,877,—,N/A: remoto,HTTP (lectura; efecto remoto mutante no demostrado),EXTERNAL_SIDE_EFFECT,Lectura HTTP: definir consistencia/retry idempotente; no hay transacción distribuida.
ProjectService,CreateFullAsync,ExternalDistributivosService,GetDistributivosByCorreosAsync,482,877,—,N/A: remoto,HTTP (lectura; efecto remoto mutante no demostrado),EXTERNAL_SIDE_EFFECT,Lectura HTTP: definir consistencia/retry idempotente; no hay transacción distribuida.
ProjectService,CreateFullAsync,AppUserService,EnsureAppUsersAsync,701,877,224,"Sí, si Scoped legacy; Identity también usa AppDbContext",Identity/roles/provisión,ATOMICITY_RISK,Separar preparación de cambios y commit del orquestador; no llamar CRUD con save desde una operación compuesta.
ProjectService,GetExistingActorUserIdAsync,CurrentUserService,GetRequiredUserId,1772,—,—,Lectura; sin commit del callee,No,SAFE,Conservar reglas/transformación de lectura. CurrentUser solo lee claims; no requiere repository.
ProjectService,ImportFromMatrixAsync,ExternalPeriodsClient,GetAllAsync,1165,1738,—,N/A: remoto,HTTP (lectura; efecto remoto mutante no demostrado),EXTERNAL_SIDE_EFFECT,Lectura HTTP: definir consistencia/retry idempotente; no hay transacción distribuida.
ProjectService,ImportFromMatrixAsync,ResearchCategoryService,ListAsync,1174,1738,—,Lectura; sin commit del callee,No,SAFE,Conservar reglas/transformación de lectura. CurrentUser solo lee claims; no requiere repository.
ProjectService,ImportFromMatrixAsync,ExternalAcademicsService,GetFacultiesAsync,1196,1738,—,N/A: remoto,HTTP (lectura; efecto remoto mutante no demostrado),EXTERNAL_SIDE_EFFECT,Lectura HTTP: definir consistencia/retry idempotente; no hay transacción distribuida.
ProjectService,ImportFromMatrixAsync,ExternalDirectoryClient,GetAllAsync,1234,1738,—,N/A: remoto,HTTP (lectura; efecto remoto mutante no demostrado),EXTERNAL_SIDE_EFFECT,Lectura HTTP: definir consistencia/retry idempotente; no hay transacción distribuida.
ProjectService,InsertGroupMembersFromDirectoryAsync,AppUserService,EnsureAppUsersAsync,1095,1738,224,"Sí, si Scoped legacy; Identity también usa AppDbContext",Identity/roles/provisión,ATOMICITY_RISK,Separar preparación de cambios y commit del orquestador; no llamar CRUD con save desde una operación compuesta.
ProjectsFiltersService,GetBootstrapAsync,CatalogQueryService,GetKeyValuesAsync,39,—,—,Lectura; sin commit del callee,No,SAFE,Conservar reglas/transformación de lectura. CurrentUser solo lee claims; no requiere repository.
ProjectsFiltersService,GetBootstrapAsync,CatalogQueryService,GetKeyValuesAsync,45,—,—,Lectura; sin commit del callee,No,SAFE,Conservar reglas/transformación de lectura. CurrentUser solo lee claims; no requiere repository.
ProjectsFiltersService,GetBootstrapAsync,ExternalAcademicsService,GetFacultiesKeyValuesAsync,51,—,—,N/A: remoto,HTTP (lectura; efecto remoto mutante no demostrado),EXTERNAL_SIDE_EFFECT,Lectura HTTP: definir consistencia/retry idempotente; no hay transacción distribuida.
ProjectsFiltersService,GetBootstrapAsync,CatalogQueryService,GetKeyValuesAsync,57,—,—,Lectura; sin commit del callee,No,SAFE,Conservar reglas/transformación de lectura. CurrentUser solo lee claims; no requiere repository.
VisitIssueService,GetExistingActorUserIdAsync,CurrentUserService,GetRequiredUserId,161,—,—,Lectura; sin commit del callee,No,SAFE,Conservar reglas/transformación de lectura. CurrentUser solo lee claims; no requiere repository.
