classification,priority,theme,reason,required_change,file,line,class,member,kind,symbol,text
MANUAL,P1,AcademicTerms,Debe verificarse/resolverse el período externo contra el catálogo local.,Migrar el agregado y usar AcademicTermId; resolver ExternalPeriodId cuando el origen sea externo.,tesisproject.backend/Controllers/AcademicPeriodsController.cs,59,AcademicPeriodsController,GetById,type,tesisproject.shared.Responses.ServiceResult<tesisproject.shared.Entities.External.ExternalAcademicPeriodModel>,var
MANUAL,P1,AcademicTerms,Debe verificarse/resolverse el período externo contra el catálogo local.,Migrar el agregado y usar AcademicTermId; resolver ExternalPeriodId cuando el origen sea externo.,tesisproject.backend/Controllers/AcademicPeriodsController.cs,84,AcademicPeriodsController,GetKeyValues,type,tesisproject.shared.Responses.ServiceResult<System.Collections.Generic.IReadOnlyList<tesisproject.shared.Entities.External.ExternalAcademicPeriodModel>>,var
MANUAL,P1,AcademicTerms,Debe verificarse/resolverse el período externo contra el catálogo local.,Migrar el agregado y usar AcademicTermId; resolver ExternalPeriodId cuando el origen sea externo.,tesisproject.backend/Controllers/AcademicPeriodsController.cs,97,AcademicPeriodsController,GetKeyValues,type,System.Collections.Generic.IEnumerable<tesisproject.shared.Entities.External.ExternalAcademicPeriodModel>,var
MANUAL,P1,AcademicTerms,Debe verificarse/resolverse el período externo contra el catálogo local.,Migrar el agregado y usar AcademicTermId; resolver ExternalPeriodId cuando el origen sea externo.,tesisproject.backend/Controllers/AcademicPeriodsController.cs,150,AcademicPeriodsController,MapToListItem,type,tesisproject.shared.Entities.External.ExternalAcademicPeriodModel,ExternalAcademicPeriodModel
MANUAL,P1,Articles,"El contrato pertenece al agregado Articles legacy o depende de sus participantes, campos y borrados.",Migrar Product + Article y consultas/proyecciones conjuntamente; revisar Title/ProjectId/IsProjectResult y borrado con NoAction. Catálogos aislados quedan bloqueados por ese contrato.,tesisproject.backend/Controllers/ArticlesConfigurationController.cs,4,(file),(namespace/import),namespace,tesisproject.backend.Data.Articles,using tesisproject.backend.Data.Articles;
MANUAL,P1,Articles,"El contrato pertenece al agregado Articles legacy o depende de sus participantes, campos y borrados.",Migrar Product + Article y consultas/proyecciones conjuntamente; revisar Title/ProjectId/IsProjectResult y borrado con NoAction. Catálogos aislados quedan bloqueados por ese contrato.,tesisproject.backend/Controllers/ArticlesConfigurationController.cs,5,(file),(namespace/import),namespace,tesisproject.backend.Data.Articles.Entities,using tesisproject.backend.Data.Articles.Entities;
MANUAL,P1,Articles,"El contrato pertenece al agregado Articles legacy o depende de sus participantes, campos y borrados.",Migrar Product + Article y consultas/proyecciones conjuntamente; revisar Title/ProjectId/IsProjectResult y borrado con NoAction. Catálogos aislados quedan bloqueados por ese contrato.,tesisproject.backend/Controllers/ArticlesConfigurationController.cs,19,ArticlesConfigurationController,_ctx,type,tesisproject.backend.Data.Articles.ArticlesDbContext,ArticlesDbContext
MANUAL,P1,Articles,"El contrato pertenece al agregado Articles legacy o depende de sus participantes, campos y borrados.",Migrar Product + Article y consultas/proyecciones conjuntamente; revisar Title/ProjectId/IsProjectResult y borrado con NoAction. Catálogos aislados quedan bloqueados por ese contrato.,tesisproject.backend/Controllers/ArticlesConfigurationController.cs,21,ArticlesConfigurationController,ArticlesConfigurationController,type,tesisproject.backend.Data.Articles.ArticlesDbContext,ArticlesDbContext
MANUAL,P1,Articles,"El contrato pertenece al agregado Articles legacy o depende de sus participantes, campos y borrados.",Migrar Product + Article y consultas/proyecciones conjuntamente; revisar Title/ProjectId/IsProjectResult y borrado con NoAction. Catálogos aislados quedan bloqueados por ese contrato.,tesisproject.backend/Controllers/ArticlesConfigurationController.cs,31,ArticlesConfigurationController,GetForms,type,System.Linq.IQueryable<tesisproject.backend.Data.Articles.Entities.FormDefinition>,var
MANUAL,P1,Articles,"El contrato pertenece al agregado Articles legacy o depende de sus participantes, campos y borrados.",Migrar Product + Article y consultas/proyecciones conjuntamente; revisar Title/ProjectId/IsProjectResult y borrado con NoAction. Catálogos aislados quedan bloqueados por ese contrato.,tesisproject.backend/Controllers/ArticlesConfigurationController.cs,135,ArticlesConfigurationController,GetCatalogItems,type,tesisproject.backend.Data.Articles.Entities.FieldCatalogEntry,var
MANUAL,P1,Articles,"El contrato pertenece al agregado Articles legacy o depende de sus participantes, campos y borrados.",Migrar Product + Article y consultas/proyecciones conjuntamente; revisar Title/ProjectId/IsProjectResult y borrado con NoAction. Catálogos aislados quedan bloqueados por ese contrato.,tesisproject.backend/Controllers/ArticlesConfigurationController.cs,149,ArticlesConfigurationController,GetResolvedForm,type,tesisproject.backend.Data.Articles.Entities.FormDefinition,var
MANUAL,P1,Articles,"El contrato pertenece al agregado Articles legacy o depende de sus participantes, campos y borrados.",Migrar Product + Article y consultas/proyecciones conjuntamente; revisar Title/ProjectId/IsProjectResult y borrado con NoAction. Catálogos aislados quedan bloqueados por ese contrato.,tesisproject.backend/Controllers/ArticlesConfigurationController.cs,168,ArticlesConfigurationController,GetResolvedActiveForm,type,System.Linq.IQueryable<tesisproject.backend.Data.Articles.Entities.FormDefinition>,var
MANUAL,P1,Articles,"El contrato pertenece al agregado Articles legacy o depende de sus participantes, campos y borrados.",Migrar Product + Article y consultas/proyecciones conjuntamente; revisar Title/ProjectId/IsProjectResult y borrado con NoAction. Catálogos aislados quedan bloqueados por ese contrato.,tesisproject.backend/Controllers/ArticlesConfigurationController.cs,182,ArticlesConfigurationController,GetResolvedActiveForm,type,tesisproject.backend.Data.Articles.Entities.FormDefinition,var
MANUAL,P1,Articles,"El contrato pertenece al agregado Articles legacy o depende de sus participantes, campos y borrados.",Migrar Product + Article y consultas/proyecciones conjuntamente; revisar Title/ProjectId/IsProjectResult y borrado con NoAction. Catálogos aislados quedan bloqueados por ese contrato.,tesisproject.backend/Controllers/ArticlesConfigurationController.cs,213,ArticlesConfigurationController,CreateForm,type,tesisproject.backend.Data.Articles.Entities.FormDefinition,var
MANUAL,P1,Articles,"El contrato pertenece al agregado Articles legacy o depende de sus participantes, campos y borrados.",Migrar Product + Article y consultas/proyecciones conjuntamente; revisar Title/ProjectId/IsProjectResult y borrado con NoAction. Catálogos aislados quedan bloqueados por ese contrato.,tesisproject.backend/Controllers/ArticlesConfigurationController.cs,213,ArticlesConfigurationController,CreateForm,type,tesisproject.backend.Data.Articles.Entities.FormDefinition,FormDefinition
MANUAL,P1,Articles,"El contrato pertenece al agregado Articles legacy o depende de sus participantes, campos y borrados.",Migrar Product + Article y consultas/proyecciones conjuntamente; revisar Title/ProjectId/IsProjectResult y borrado con NoAction. Catálogos aislados quedan bloqueados por ese contrato.,tesisproject.backend/Controllers/ArticlesConfigurationController.cs,238,ArticlesConfigurationController,UpdateForm,type,tesisproject.backend.Data.Articles.Entities.FormDefinition,var
MANUAL,P1,Articles,"El contrato pertenece al agregado Articles legacy o depende de sus participantes, campos y borrados.",Migrar Product + Article y consultas/proyecciones conjuntamente; revisar Title/ProjectId/IsProjectResult y borrado con NoAction. Catálogos aislados quedan bloqueados por ese contrato.,tesisproject.backend/Controllers/ArticlesConfigurationController.cs,263,ArticlesConfigurationController,DeleteForm,type,tesisproject.backend.Data.Articles.Entities.FormDefinition,var
MANUAL,P1,Articles,"El contrato pertenece al agregado Articles legacy o depende de sus participantes, campos y borrados.",Migrar Product + Article y consultas/proyecciones conjuntamente; revisar Title/ProjectId/IsProjectResult y borrado con NoAction. Catálogos aislados quedan bloqueados por ese contrato.,tesisproject.backend/Controllers/ArticlesConfigurationController.cs,288,ArticlesConfigurationController,CreateDynamicField,type,tesisproject.backend.Data.Articles.Entities.FieldCatalogEntry,var
MANUAL,P1,Articles,"El contrato pertenece al agregado Articles legacy o depende de sus participantes, campos y borrados.",Migrar Product + Article y consultas/proyecciones conjuntamente; revisar Title/ProjectId/IsProjectResult y borrado con NoAction. Catálogos aislados quedan bloqueados por ese contrato.,tesisproject.backend/Controllers/ArticlesConfigurationController.cs,288,ArticlesConfigurationController,CreateDynamicField,type,tesisproject.backend.Data.Articles.Entities.FieldCatalogEntry,FieldCatalogEntry
MANUAL,P1,Articles,"El contrato pertenece al agregado Articles legacy o depende de sus participantes, campos y borrados.",Migrar Product + Article y consultas/proyecciones conjuntamente; revisar Title/ProjectId/IsProjectResult y borrado con NoAction. Catálogos aislados quedan bloqueados por ese contrato.,tesisproject.backend/Controllers/ArticlesConfigurationController.cs,326,ArticlesConfigurationController,UpdateField,type,tesisproject.backend.Data.Articles.Entities.FieldCatalogEntry,var
MANUAL,P1,Articles,"El contrato pertenece al agregado Articles legacy o depende de sus participantes, campos y borrados.",Migrar Product + Article y consultas/proyecciones conjuntamente; revisar Title/ProjectId/IsProjectResult y borrado con NoAction. Catálogos aislados quedan bloqueados por ese contrato.,tesisproject.backend/Controllers/ArticlesConfigurationController.cs,351,ArticlesConfigurationController,DeleteField,type,tesisproject.backend.Data.Articles.Entities.FieldCatalogEntry,var
MANUAL,P1,ArticleParticipants,El participante y sus valores dinámicos no equivalen a ProductAuthor.,"Definir Author, ProductAuthor, snapshots, ORCID, ExternalAuthorId y destino de campos dinámicos; adaptar este uso.",tesisproject.backend/Controllers/ArticlesConfigurationController.cs,359,ArticlesConfigurationController,DeleteField,dbset,tesisproject.backend.Data.Articles.ArticlesDbContext.ArticleParticipantDynamicFieldValues,ArticleParticipantDynamicFieldValues
MANUAL,P1,ArticleParticipants,El participante y sus valores dinámicos no equivalen a ProductAuthor.,"Definir Author, ProductAuthor, snapshots, ORCID, ExternalAuthorId y destino de campos dinámicos; adaptar este uso.",tesisproject.backend/Controllers/ArticlesConfigurationController.cs,359,ArticlesConfigurationController,DeleteField,dbset,tesisproject.backend.Data.Articles.Entities.ArticleParticipantDynamicFieldValue.FieldId,FieldId
MANUAL,P1,Articles,"El contrato pertenece al agregado Articles legacy o depende de sus participantes, campos y borrados.",Migrar Product + Article y consultas/proyecciones conjuntamente; revisar Title/ProjectId/IsProjectResult y borrado con NoAction. Catálogos aislados quedan bloqueados por ese contrato.,tesisproject.backend/Controllers/ArticlesConfigurationController.cs,379,ArticlesConfigurationController,AddFieldToForm,type,tesisproject.backend.Data.Articles.Entities.FormDefinition,var
MANUAL,P1,Articles,"El contrato pertenece al agregado Articles legacy o depende de sus participantes, campos y borrados.",Migrar Product + Article y consultas/proyecciones conjuntamente; revisar Title/ProjectId/IsProjectResult y borrado con NoAction. Catálogos aislados quedan bloqueados por ese contrato.,tesisproject.backend/Controllers/ArticlesConfigurationController.cs,383,ArticlesConfigurationController,AddFieldToForm,type,tesisproject.backend.Data.Articles.Entities.FieldCatalogEntry,var
MANUAL,P1,Articles,"El contrato pertenece al agregado Articles legacy o depende de sus participantes, campos y borrados.",Migrar Product + Article y consultas/proyecciones conjuntamente; revisar Title/ProjectId/IsProjectResult y borrado con NoAction. Catálogos aislados quedan bloqueados por ese contrato.,tesisproject.backend/Controllers/ArticlesConfigurationController.cs,394,ArticlesConfigurationController,AddFieldToForm,type,tesisproject.backend.Data.Articles.Entities.FormFieldDefinition,var
MANUAL,P1,Articles,"El contrato pertenece al agregado Articles legacy o depende de sus participantes, campos y borrados.",Migrar Product + Article y consultas/proyecciones conjuntamente; revisar Title/ProjectId/IsProjectResult y borrado con NoAction. Catálogos aislados quedan bloqueados por ese contrato.,tesisproject.backend/Controllers/ArticlesConfigurationController.cs,394,ArticlesConfigurationController,AddFieldToForm,type,tesisproject.backend.Data.Articles.Entities.FormFieldDefinition,FormFieldDefinition
MANUAL,P1,Articles,"El contrato pertenece al agregado Articles legacy o depende de sus participantes, campos y borrados.",Migrar Product + Article y consultas/proyecciones conjuntamente; revisar Title/ProjectId/IsProjectResult y borrado con NoAction. Catálogos aislados quedan bloqueados por ese contrato.,tesisproject.backend/Controllers/ArticlesConfigurationController.cs,421,ArticlesConfigurationController,UpdateFormField,type,tesisproject.backend.Data.Articles.Entities.FormFieldDefinition,var
MANUAL,P1,Articles,"El contrato pertenece al agregado Articles legacy o depende de sus participantes, campos y borrados.",Migrar Product + Article y consultas/proyecciones conjuntamente; revisar Title/ProjectId/IsProjectResult y borrado con NoAction. Catálogos aislados quedan bloqueados por ese contrato.,tesisproject.backend/Controllers/ArticlesConfigurationController.cs,428,ArticlesConfigurationController,UpdateFormField,type,tesisproject.backend.Data.Articles.Entities.FieldCatalogEntry,var
MANUAL,P1,Articles,"El contrato pertenece al agregado Articles legacy o depende de sus participantes, campos y borrados.",Migrar Product + Article y consultas/proyecciones conjuntamente; revisar Title/ProjectId/IsProjectResult y borrado con NoAction. Catálogos aislados quedan bloqueados por ese contrato.,tesisproject.backend/Controllers/ArticlesConfigurationController.cs,444,ArticlesConfigurationController,DeleteFormField,type,tesisproject.backend.Data.Articles.Entities.FormFieldDefinition,var
MANUAL,P1,Articles,"El contrato pertenece al agregado Articles legacy o depende de sus participantes, campos y borrados.",Migrar Product + Article y consultas/proyecciones conjuntamente; revisar Title/ProjectId/IsProjectResult y borrado con NoAction. Catálogos aislados quedan bloqueados por ese contrato.,tesisproject.backend/Controllers/ArticlesConfigurationController.cs,473,ArticlesConfigurationController,CreateFieldOption,type,tesisproject.backend.Data.Articles.Entities.DynamicFieldOption,var
MANUAL,P1,Articles,"El contrato pertenece al agregado Articles legacy o depende de sus participantes, campos y borrados.",Migrar Product + Article y consultas/proyecciones conjuntamente; revisar Title/ProjectId/IsProjectResult y borrado con NoAction. Catálogos aislados quedan bloqueados por ese contrato.,tesisproject.backend/Controllers/ArticlesConfigurationController.cs,473,ArticlesConfigurationController,CreateFieldOption,type,tesisproject.backend.Data.Articles.Entities.DynamicFieldOption,DynamicFieldOption
MANUAL,P1,Articles,"El contrato pertenece al agregado Articles legacy o depende de sus participantes, campos y borrados.",Migrar Product + Article y consultas/proyecciones conjuntamente; revisar Title/ProjectId/IsProjectResult y borrado con NoAction. Catálogos aislados quedan bloqueados por ese contrato.,tesisproject.backend/Controllers/ArticlesConfigurationController.cs,500,ArticlesConfigurationController,UpdateFieldOption,type,tesisproject.backend.Data.Articles.Entities.DynamicFieldOption,var
MANUAL,P1,Articles,"El contrato pertenece al agregado Articles legacy o depende de sus participantes, campos y borrados.",Migrar Product + Article y consultas/proyecciones conjuntamente; revisar Title/ProjectId/IsProjectResult y borrado con NoAction. Catálogos aislados quedan bloqueados por ese contrato.,tesisproject.backend/Controllers/ArticlesConfigurationController.cs,522,ArticlesConfigurationController,DeleteFieldOption,type,tesisproject.backend.Data.Articles.Entities.DynamicFieldOption,var
MANUAL,P1,Articles,"El contrato pertenece al agregado Articles legacy o depende de sus participantes, campos y borrados.",Migrar Product + Article y consultas/proyecciones conjuntamente; revisar Title/ProjectId/IsProjectResult y borrado con NoAction. Catálogos aislados quedan bloqueados por ese contrato.,tesisproject.backend/Controllers/ArticlesConfigurationController.cs,566,ArticlesConfigurationController,MapForm,type,tesisproject.backend.Data.Articles.Entities.FormDefinition,FormDefinition
MANUAL,P1,Articles,"El contrato pertenece al agregado Articles legacy o depende de sus participantes, campos y borrados.",Migrar Product + Article y consultas/proyecciones conjuntamente; revisar Title/ProjectId/IsProjectResult y borrado con NoAction. Catálogos aislados quedan bloqueados por ese contrato.,tesisproject.backend/Controllers/ArticlesConfigurationController.cs,577,ArticlesConfigurationController,MapField,type,tesisproject.backend.Data.Articles.Entities.FieldCatalogEntry,FieldCatalogEntry
MANUAL,P1,Articles,"El contrato pertenece al agregado Articles legacy o depende de sus participantes, campos y borrados.",Migrar Product + Article y consultas/proyecciones conjuntamente; revisar Title/ProjectId/IsProjectResult y borrado con NoAction. Catálogos aislados quedan bloqueados por ese contrato.,tesisproject.backend/Controllers/ArticlesConfigurationController.cs,604,ArticlesConfigurationController,MapFormField,type,tesisproject.backend.Data.Articles.Entities.FormFieldDefinition,FormFieldDefinition
MANUAL,P1,Articles,"El contrato pertenece al agregado Articles legacy o depende de sus participantes, campos y borrados.",Migrar Product + Article y consultas/proyecciones conjuntamente; revisar Title/ProjectId/IsProjectResult y borrado con NoAction. Catálogos aislados quedan bloqueados por ese contrato.,tesisproject.backend/Controllers/ArticlesConfigurationController.cs,606,ArticlesConfigurationController,MapFormField,type,tesisproject.backend.Data.Articles.Entities.FieldCatalogEntry,var
MANUAL,P1,Articles,"El contrato pertenece al agregado Articles legacy o depende de sus participantes, campos y borrados.",Migrar Product + Article y consultas/proyecciones conjuntamente; revisar Title/ProjectId/IsProjectResult y borrado con NoAction. Catálogos aislados quedan bloqueados por ese contrato.,tesisproject.backend/Controllers/ArticlesConfigurationController.cs,627,ArticlesConfigurationController,MapOption,type,tesisproject.backend.Data.Articles.Entities.DynamicFieldOption,DynamicFieldOption
MANUAL,P1,Articles,"El contrato pertenece al agregado Articles legacy o depende de sus participantes, campos y borrados.",Migrar Product + Article y consultas/proyecciones conjuntamente; revisar Title/ProjectId/IsProjectResult y borrado con NoAction. Catálogos aislados quedan bloqueados por ese contrato.,tesisproject.backend/Controllers/ArticlesConfigurationController.cs,672,ArticlesConfigurationController,BuildResolvedFormAsync,type,tesisproject.backend.Data.Articles.Entities.FormDefinition,var
MANUAL,P1,Articles,"El contrato pertenece al agregado Articles legacy o depende de sus participantes, campos y borrados.",Migrar Product + Article y consultas/proyecciones conjuntamente; revisar Title/ProjectId/IsProjectResult y borrado con NoAction. Catálogos aislados quedan bloqueados por ese contrato.,tesisproject.backend/Controllers/ArticlesConfigurationController.cs,676,ArticlesConfigurationController,BuildResolvedFormAsync,type,System.Collections.Generic.List<tesisproject.backend.Data.Articles.Entities.FormFieldDefinition>,var
MANUAL,P1,Articles,"El contrato pertenece al agregado Articles legacy o depende de sus participantes, campos y borrados.",Migrar Product + Article y consultas/proyecciones conjuntamente; revisar Title/ProjectId/IsProjectResult y borrado con NoAction. Catálogos aislados quedan bloqueados por ese contrato.,tesisproject.backend/Controllers/ArticlesConfigurationController.cs,707,ArticlesConfigurationController,MapResolvedField,type,tesisproject.backend.Data.Articles.Entities.FormFieldDefinition,FormFieldDefinition
MANUAL,P1,Articles,"El contrato pertenece al agregado Articles legacy o depende de sus participantes, campos y borrados.",Migrar Product + Article y consultas/proyecciones conjuntamente; revisar Title/ProjectId/IsProjectResult y borrado con NoAction. Catálogos aislados quedan bloqueados por ese contrato.,tesisproject.backend/Controllers/ArticlesConfigurationController.cs,709,ArticlesConfigurationController,MapResolvedField,type,tesisproject.backend.Data.Articles.Entities.FieldCatalogEntry,var
MANUAL,P1,Faculties,El contrato comparte IDs de facultad de origen externo o navegaciones legacy; no acredita identidad local.,"Resolver ExternalFacultyId a FacultyId local y revisar scopes, filtros y DTO; Code/Acronym en Articles requiere mapeo explícito.",tesisproject.backend/Controllers/ArticlesConfigurationController.cs,756,ArticlesConfigurationController,ReadCatalogItemsAsync,property,tesisproject.backend.Data.Articles.Entities.Faculty.FacultyId,FacultyId
MANUAL,P1,Articles,"El contrato pertenece al agregado Articles legacy o depende de sus participantes, campos y borrados.",Migrar Product + Article y consultas/proyecciones conjuntamente; revisar Title/ProjectId/IsProjectResult y borrado con NoAction. Catálogos aislados quedan bloqueados por ese contrato.,tesisproject.backend/Controllers/ArticlesConfigurationController.cs,774,ArticlesCatalogsController,_ctx,type,tesisproject.backend.Data.Articles.ArticlesDbContext,ArticlesDbContext
MANUAL,P1,Articles,"El contrato pertenece al agregado Articles legacy o depende de sus participantes, campos y borrados.",Migrar Product + Article y consultas/proyecciones conjuntamente; revisar Title/ProjectId/IsProjectResult y borrado con NoAction. Catálogos aislados quedan bloqueados por ese contrato.,tesisproject.backend/Controllers/ArticlesConfigurationController.cs,776,ArticlesCatalogsController,ArticlesCatalogsController,type,tesisproject.backend.Data.Articles.ArticlesDbContext,ArticlesDbContext
MANUAL,P1,Faculties,El contrato comparte IDs de facultad de origen externo o navegaciones legacy; no acredita identidad local.,"Resolver ExternalFacultyId a FacultyId local y revisar scopes, filtros y DTO; Code/Acronym en Articles requiere mapeo explícito.",tesisproject.backend/Controllers/ArticlesConfigurationController.cs,786,ArticlesCatalogsController,GetAdminCatalog,property,tesisproject.backend.Data.Articles.Entities.Faculty.FacultyId,FacultyId
MANUAL,P1,Faculties,El contrato comparte IDs de facultad de origen externo o navegaciones legacy; no acredita identidad local.,"Resolver ExternalFacultyId a FacultyId local y revisar scopes, filtros y DTO; Code/Acronym en Articles requiere mapeo explícito.",tesisproject.backend/Controllers/ArticlesConfigurationController.cs,786,ArticlesCatalogsController,GetAdminCatalog,property,tesisproject.backend.Data.Articles.Entities.Faculty.Code,Code
MANUAL,P2,Otros: agregados y contratos,El tipo forma parte de un agregado o contrato genérico que todavía devuelve entidades legacy.,"Migrar conjuntamente repositorio, interfaz, UoW y navegaciones del agregado. Revisar Project/Group/GroupMember, objetivos, documentos, presupuesto y catálogos; no mezclar instancias EF de ambos modelos.",tesisproject.backend/Controllers/CatalogControllerBase.cs,7,(file),(namespace/import),namespace,tesisproject.shared.Entities.Base,using tesisproject.shared.Entities.Base;
MANUAL,P2,Otros: agregados y contratos,El tipo forma parte de un agregado o contrato genérico que todavía devuelve entidades legacy.,"Migrar conjuntamente repositorio, interfaz, UoW y navegaciones del agregado. Revisar Project/Group/GroupMember, objetivos, documentos, presupuesto y catálogos; no mezclar instancias EF de ambos modelos.",tesisproject.backend/Controllers/CatalogControllerBase.cs,16,CatalogControllerBase,(namespace/import),type,tesisproject.shared.Entities.Base.CatalogEntityBase,CatalogEntityBase
MANUAL,P2,Otros: agregados y contratos,El tipo forma parte de un agregado o contrato genérico que todavía devuelve entidades legacy.,"Migrar conjuntamente repositorio, interfaz, UoW y navegaciones del agregado. Revisar Project/Group/GroupMember, objetivos, documentos, presupuesto y catálogos; no mezclar instancias EF de ambos modelos.",tesisproject.backend/Controllers/DocumentTypesController.cs,5,(file),(namespace/import),namespace,tesisproject.shared.Entities.Catalogs,using tesisproject.shared.Entities.Catalogs;
MANUAL,P2,Otros: agregados y contratos,El tipo forma parte de un agregado o contrato genérico que todavía devuelve entidades legacy.,"Migrar conjuntamente repositorio, interfaz, UoW y navegaciones del agregado. Revisar Project/Group/GroupMember, objetivos, documentos, presupuesto y catálogos; no mezclar instancias EF de ambos modelos.",tesisproject.backend/Controllers/DocumentTypesController.cs,12,DocumentTypesController,(namespace/import),type,tesisproject.backend.Controllers.CatalogControllerBase<tesisproject.shared.Entities.Catalogs.DocumentType>,CatalogControllerBase<DocumentType>
MANUAL,P2,Otros: agregados y contratos,El tipo forma parte de un agregado o contrato genérico que todavía devuelve entidades legacy.,"Migrar conjuntamente repositorio, interfaz, UoW y navegaciones del agregado. Revisar Project/Group/GroupMember, objetivos, documentos, presupuesto y catálogos; no mezclar instancias EF de ambos modelos.",tesisproject.backend/Controllers/DocumentTypesController.cs,12,DocumentTypesController,(namespace/import),type,tesisproject.shared.Entities.Catalogs.DocumentType,DocumentType
MANUAL,P2,Otros: agregados y contratos,El tipo forma parte de un agregado o contrato genérico que todavía devuelve entidades legacy.,"Migrar conjuntamente repositorio, interfaz, UoW y navegaciones del agregado. Revisar Project/Group/GroupMember, objetivos, documentos, presupuesto y catálogos; no mezclar instancias EF de ambos modelos.",tesisproject.backend/Controllers/DocumentTypesController.cs,15,DocumentTypesController,DocumentTypesController,type,tesisproject.backend.Services.Interfaces.ICatalogCrudService<tesisproject.shared.Entities.Catalogs.DocumentType>,ICatalogCrudService<DocumentType>
MANUAL,P2,Otros: agregados y contratos,El tipo forma parte de un agregado o contrato genérico que todavía devuelve entidades legacy.,"Migrar conjuntamente repositorio, interfaz, UoW y navegaciones del agregado. Revisar Project/Group/GroupMember, objetivos, documentos, presupuesto y catálogos; no mezclar instancias EF de ambos modelos.",tesisproject.backend/Controllers/DocumentTypesController.cs,15,DocumentTypesController,DocumentTypesController,type,tesisproject.shared.Entities.Catalogs.DocumentType,DocumentType
MANUAL,P2,Otros: agregados y contratos,El tipo forma parte de un agregado o contrato genérico que todavía devuelve entidades legacy.,"Migrar conjuntamente repositorio, interfaz, UoW y navegaciones del agregado. Revisar Project/Group/GroupMember, objetivos, documentos, presupuesto y catálogos; no mezclar instancias EF de ambos modelos.",tesisproject.backend/Controllers/ExternalPeriodsController.cs,5,(file),(namespace/import),namespace,tesisproject.shared.Entities.External,using tesisproject.shared.Entities.External;
MANUAL,P1,AcademicTerms,Debe verificarse/resolverse el período externo contra el catálogo local.,Migrar el agregado y usar AcademicTermId; resolver ExternalPeriodId cuando el origen sea externo.,tesisproject.backend/Controllers/ExternalPeriodsController.cs,23,ExternalPeriodsController,GetAll,type,System.Threading.Tasks.Task<Microsoft.AspNetCore.Mvc.ActionResult<tesisproject.shared.Responses.ServiceResult<System.Collections.Generic.IReadOnlyList<tesisproject.shared.Entities.External.ExternalAcademicPeriodModel>>>>,Task<ActionResult<ServiceResult<IReadOnlyList<ExternalAcademicPeriodModel>>>>
